CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
384	21.7057	0.58337	1.56195	142.312	0.0447375	-41.7598	124.605	-185.225	-43.0241	109.402	-171.121
385	23.3897	0.892242	0.267125	-0.633841	0.0578561	61.7493	152.409	-135.507	66.7452	145.41	-115.137
386	15.6048	1.45519	0.1274	0.847526	0.0167713	58.7065	125.175	-217.265	61.6392	110.86	-212.572
387	18.5921	1.65405	0.11404	-0.0729531	0.0225175	74.7032	151.769	-241.774	91.8632	148.656	-246.917
388	41.9039	1.20149	0.215277	0.469698	0.0457191	55.3687	140.72	-250.287	58.072	103.193	-264.076
389	43.3032	0.661673	1.77815	25.2453	0.0237454	64.9385	203.344	-219.519	94.3296	233.646	-222.196
390	21.4159	1.29438	0.213167	0.144532	0.0395427	96.3008	201.91	-217.604	80.2551	189.375	-214.469
391	16.1096	0.612461	4.5604	-0.667717	0.0204959	-76.5877	171.747	-196.131	-90.617	164.608	-197.321
392	13.249	0.995158	0.22096	-0.503953	0.0737626	-41.743	135.341	-266.942	-34.282	127.554	-272.938
393	41.7064	0.916773	0.511158	-1.30788	0.0241868	-74.1249	143.558	-260.941	-109.326	144.159	-281.405
394	5.85481	0.972987	0.20994	0.441047	0.0466369	-55.8087	116.93	-197.213	-55.1484	111.404	-197.784
395	9.04141	0.601179	0.236583	-0.00930914	0.0835732	62.1011	214.369	-175.196	58.9255	221.823	-177.19
396	15.3223	0.961354	0.198734	0.297605	0.0326816	55.8242	205.91	-157.213	49.1977	216.193	-148.817
397	28.052	1.36213	0.160883	0.240601	0.0431062	78.2753	116.03	-216.552	57.7561	133.41	-216.868
398	24.6859	1.09487	1.6946	-18.1205	0.0313999	72.193	132.657	-241.629	92.3117	119.886	-239.393
399	23.6743	0.66335	2.35451	49.9095	0.0310776	27.1452	158.238	-256.82	37.601	151.527	-237.511
400	24.3592	0.785699	3.25057	-2.58234	0.0200884	-54.0636	217.894	-168.395	-44.1698	239.595	-167.202
401	16.8393	1.2546	0.135496	-0.577389	0.0207296	-68.8773	200.437	-198.66	-80.8031	210.978	-203
402	40.7417	0.164419	70.8197	-17.6243	0.0222597	-41.062	135.121	-273.888	-39.8849	117.691	-309.709
403	19.6291	1.21087	0.213817	2.52873	0.0440679	-41.062	135.121	-273.888	-34.7399	142.607	-289.934
404	54.0884	0.635353	28.435	77.1421	0.0244856	-54.5888	136.17	-270.218	-73.8084	110.174	-311.958
405	14.0738	0.265615	0.246704	-0.702112	0.0344625	63.6106	223.669	-174.386	71.5369	234.724	-174.181
406	36.397	0.479767	4.19487	117.878	0.0120078	76.2696	158.866	-249.83	110.428	169.848	-252.298
407	40.2008	0.996507	0.276655	-0.360639	0.0540061	91.8632	148.656	-246.917	124.019	149.003	-267.426
408	30.3941	1.55502	0.0872067	-0.118077	0.0175277	70.3701	236.369	-213.515	62.7156	207.609	-210.961
409	24.7186	0.292382	5.54166	-51.0615	0.0285142	-52.1033	138.259	-278.741	-52.0657	130.395	-301.451
410	6.12126	0.719614	0.251922	0.96486	0.0428858	49.1977	216.193	-148.817	46.8065	221.54	-149.187
411	15.3174	1.12405	0.27051	-0.316824	0.0310715	46.2933	143.499	-275.59	37.6379	145.944	-287.414
412	17.5331	1.02752	0.215292	-1.1534	0.0682927	71.2801	118.373	-274.259	79.1041	104.271	-277.31
413	7.57746	1.30794	0.246083	-0.553798	0.0471501	71.2801	118.373	-274.259	71.5514	114.465	-280.344
414	32.7814	1.07324	0.223854	0.367501	0.03542	80.5716	104.076	-252.366	72.193	132.657	-241.629
415	12.4049	0.75438	7.63113	-2.72716	0.190435	46.4412	149.392	-284.183	46.2933	143.499	-275.59
416	13.344	1.19673	0.184209	0.491695	0.0541471	76.0905	128.01	-287.734	74.3863	129.751	-275.312
417	23.6933	1.16496	0.180381	0.460242	0.0399591	62.0434	257.569	-212.99	70.3701	236.369	-213.515
